iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
AFG,Asia,Afghanistan,6/29/2020,30967,351,721,18,795.487,9.017,18.521,0.462,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
ALB,Europe,Albania,6/29/2020,2402,72,55,2,834.665,25.019,19.112,0.695,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57
DZA,Africa,Algeria,6/29/2020,13273,305,897,5,302.684,6.955,20.456,0.114,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
AND,Europe,Andorra,6/29/2020,855,0,52,0,11065.812,0,673.008,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73
AGO,Africa,Angola,6/29/2020,267,23,11,1,8.124,0.7,0.335,0.03,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15
AIA,North America,Anguilla,6/29/2020,3,0,0,0,199.973,0,0,0,15002,,,,,,,,,,,,,81.88
ATG,North America,Antigua and Barbuda,6/29/2020,65,0,3,0,663.753,0,30.635,0,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02
ARG,South America,Argentina,6/29/2020,57731,0,1217,10,1277.354,0,26.927,0.221,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARM,Asia,Armenia,6/29/2020,25127,482,433,7,8479.587,162.66,146.124,2.362,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09
ABW,North America,Aruba,6/29/2020,101,0,3,0,945.994,0,28.099,0,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29
AUS,Oceania,Australia,6/29/2020,7686,45,104,0,301.413,1.765,4.078,0,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,,3.84,83.44
AUT,Europe,Austria,6/29/2020,17625,63,702,2,1956.942,6.995,77.945,0.222,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54
AZE,Asia,Azerbaijan,6/29/2020,16424,534,198,5,1619.856,52.667,19.528,0.493,10139175,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73
BHS,North America,Bahamas,6/29/2020,104,0,11,0,264.464,0,27.972,0,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92
BHR,Asia,Bahrain,6/29/2020,25705,438,83,5,15106.521,257.407,48.778,2.938,1701583,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2,77.29
BGD,Asia,Bangladesh,6/29/2020,137787,3809,1738,43,836.648,23.128,10.553,0.261,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59
BRB,North America,Barbados,6/29/2020,97,0,7,0,337.543,0,24.359,0,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19
BLR,Europe,Belarus,6/29/2020,61475,380,383,6,6505.758,40.215,40.532,0.635,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11,74.79
BEL,Europe,Belgium,6/29/2020,61361,152,9732,0,5294.481,13.115,839.717,0,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63
BLZ,North America,Belize,6/29/2020,24,0,2,0,60.359,0,5.03,0,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62
BEN,Africa,Benin,6/29/2020,1149,25,16,2,94.777,2.062,1.32,0.165,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77
BMU,North America,Bermuda,6/29/2020,146,0,9,0,2344.515,0,144.525,0,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59
BTN,Asia,Bhutan,6/29/2020,76,0,0,0,98.495,0,0,0,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78
BOL,South America,Bolivia,6/29/2020,31524,848,1014,44,2700.584,72.646,86.867,3.769,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51
BES,North America,Bonaire Sint Eustatius and Saba,6/29/2020,7,0,0,0,266.962,0,0,0,26221,,,,,,,,,,,,,77.79
BIH,Europe,Bosnia and Herzegovina,6/29/2020,4107,172,179,1,1251.823,52.426,54.56,0.305,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4
BWA,Africa,Botswana,6/29/2020,125,0,1,0,53.155,0,0.425,0,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59
BRA,South America,Brazil,6/29/2020,1344143,30476,57622,552,6323.611,143.376,271.087,2.597,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88
VGB,North America,British Virgin Islands,6/29/2020,8,0,1,0,264.577,0,33.072,0,30237,207.973,,,,,,,13.67,,,,,79.07
BRN,Asia,Brunei,6/29/2020,141,0,3,0,322.298,0,6.857,0,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86
BGR,Europe,Bulgaria,6/29/2020,4691,66,219,3,675.115,9.499,31.518,0.432,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05
BFA,Africa,Burkina Faso,6/29/2020,959,18,53,0,45.878,0.861,2.535,0,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58
BDI,Africa,Burundi,6/29/2020,170,26,1,0,14.297,2.187,0.084,0,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58
KHM,Asia,Cambodia,6/29/2020,141,0,0,0,8.434,0,0,0,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82
CMR,Africa,Cameroon,6/29/2020,12592,0,313,0,474.349,0,11.791,0,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29
CAN,North America,Canada,6/29/2020,103239,218,8522,6,2735.376,5.776,225.795,0.159,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43
CPV,Africa,Cape Verde,6/29/2020,1155,64,12,0,2077.383,115.11,21.583,0,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98
CYM,North America,Cayman Islands,6/29/2020,196,0,1,0,2982.349,0,15.216,0,65720,256.496,,,,49903.029,,,13.22,,,,,83.92
CAF,Africa,Central African Republic,6/29/2020,3429,0,45,0,709.973,0,9.317,0,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28
TCD,Africa,Chad,6/29/2020,866,1,74,0,52.722,0.061,4.505,0,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24
CHL,South America,Chile,6/29/2020,271982,4216,5509,162,14227.821,220.546,288.185,8.474,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18
CHN,Asia,China,6/29/2020,84757,14,4641,0,58.887,0.01,3.224,0,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91
COL,South America,Colombia,6/29/2020,91769,3178,3106,167,1803.534,62.457,61.042,3.282,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29
COM,Africa,Comoros,6/29/2020,272,25,7,0,312.789,28.749,8.05,0,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32
COG,Africa,Congo,6/29/2020,1245,0,40,0,225.621,0,7.249,0,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57
CRI,North America,Costa Rica,6/29/2020,3130,151,15,3,614.435,29.642,2.945,0.589,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28
CIV,Africa,Cote d'Ivoire,6/29/2020,8944,205,66,2,339.067,7.772,2.502,0.076,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78
HRV,Europe,Croatia,6/29/2020,2691,67,107,0,655.499,16.32,26.064,0,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49
CUB,North America,Cuba,6/29/2020,2332,2,86,0,205.887,0.177,7.593,0,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8
CUW,North America,Curacao,6/29/2020,24,0,1,0,146.252,0,6.094,0,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88
CYP,Europe,Cyprus,6/29/2020,994,0,19,0,1134.834,0,21.692,0,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98
CZE,Europe,Czech Republic,6/29/2020,11603,305,348,1,1083.483,28.481,32.496,0.093,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38
COD,Africa,Democratic Republic of Congo,6/29/2020,6826,274,157,8,76.216,3.059,1.753,0.089,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68
DNK,Europe,Denmark,6/29/2020,12675,0,604,0,2188.287,0,104.278,0,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9
DJI,Africa,Djibouti,6/29/2020,4643,0,52,0,4699.383,0,52.631,0,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11
DMA,North America,Dominica,6/29/2020,18,0,0,0,250.031,0,0,0,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75
DOM,North America,Dominican Republic,6/29/2020,31373,754,726,8,2892.079,69.507,66.925,0.737,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08
ECU,South America,Ecuador,6/29/2020,55255,681,4429,5,3131.826,38.599,251.034,0.283,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01
EGY,Africa,Egypt,6/29/2020,65188,1265,2789,81,637.01,12.361,27.254,0.792,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99
SLV,North America,El Salvador,6/29/2020,5934,0,164,12,914.865,0,25.284,1.85,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32
GNQ,Africa,Equatorial Guinea,6/29/2020,2001,0,32,0,1426.245,0,22.809,0,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74
ERI,Africa,Eritrea,6/29/2020,191,0,0,0,53.857,0,0,0,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32
EST,Europe,Estonia,6/29/2020,1987,1,69,0,1497.883,0.754,52.015,0,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74
ETH,Africa,Ethiopia,6/29/2020,5689,119,98,4,49.485,1.035,0.852,0.035,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6
FRO,Europe,Faeroe Islands,6/29/2020,187,0,0,0,3826.87,0,0,0,48865,35.308,,,,,,,,,,,,80.67
FLK,South America,Falkland Islands,6/29/2020,13,0,0,0,3732.415,0,0,0,3483,,,,,,,,,,,,,81.44
FJI,Oceania,Fiji,6/29/2020,18,0,0,0,20.079,0,0,0,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44
FIN,Europe,Finland,6/29/2020,7191,0,328,0,1297.846,0,59.198,0,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91
FRA,Europe,France,6/29/2020,162936,0,29778,0,2496.204,0,456.203,0,65273512,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66
PYF,Oceania,French Polynesia,6/29/2020,62,0,0,0,220.716,0,0,0,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66
GAB,Africa,Gabon,6/29/2020,5209,0,40,0,2340.358,0,17.972,0,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47
GMB,Africa,Gambia,6/29/2020,45,0,2,0,18.621,0,0.828,0,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05
GEO,Asia,Georgia,6/29/2020,926,2,15,0,232.128,0.501,3.76,0,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77
DEU,Europe,Germany,6/29/2020,193761,262,8961,4,2312.627,3.127,106.954,0.048,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
GHA,Africa,Ghana,6/29/2020,17351,920,112,9,558.396,29.608,3.604,0.29,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07
GIB,Europe,Gibraltar,6/29/2020,177,1,0,0,5253.629,29.682,0,0,33691,3457.1,,,,,,,,,,,,79.93
GRC,Europe,Greece,6/29/2020,3376,10,191,0,323.897,0.959,18.325,0,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24
GRL,North America,Greenland,6/29/2020,13,0,0,0,228.986,0,0,0,56772,0.137,,,,,,199.941,2.16,,,,,71.7
GRD,North America,Grenada,6/29/2020,23,0,0,0,204.41,0,0,0,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4
GUM,Oceania,Guam,6/29/2020,253,5,5,0,1498.966,29.624,29.624,0,168783,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07
GTM,North America,Guatemala,6/29/2020,16930,533,727,21,944.988,29.751,40.579,1.172,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3
GGY,Europe,Guernsey,6/29/2020,252,0,13,0,3758.277,0,193.879,0,67052,,,,,,,,,,,,,
GIN,Africa,Guinea,6/29/2020,5342,51,31,1,406.768,3.883,2.361,0.076,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6
GNB,Africa,Guinea-Bissau,6/29/2020,1614,0,21,0,820.123,0,10.671,0,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32
GUY,South America,Guyana,6/29/2020,230,0,12,0,292.413,0,15.256,0,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91
HTI,North America,Haiti,6/29/2020,5847,70,104,4,512.781,6.139,9.121,0.351,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64
HND,North America,Honduras,6/29/2020,18082,1075,479,0,1825.615,108.535,48.361,0,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27
HUN,Europe,Hungary,6/29/2020,4142,4,581,3,428.763,0.414,60.143,0.311,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88
ISL,Europe,Iceland,6/29/2020,1838,2,10,0,5386.081,5.861,29.304,0,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99
IND,Asia,India,6/29/2020,548318,19459,16475,380,397.331,14.101,11.938,0.275,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66
IDN,Asia,Indonesia,6/29/2020,54010,1198,2754,34,197.46,4.38,10.069,0.124,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72
IRN,Asia,Iran,6/29/2020,222669,2489,10508,144,2651.044,29.633,125.106,1.714,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68
IRQ,Asia,Iraq,6/29/2020,45402,2140,1756,96,1128.771,53.204,43.657,2.387,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6
IRL,Europe,Ireland,6/29/2020,25439,2,1735,1,5151.894,0.405,351.371,0.203,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3
IMN,Europe,Isle of Man,6/29/2020,336,0,24,0,3951.454,0,282.247,0,85032,147.872,,,,,,,,,,,,81.4
ISR,Asia,Israel,6/29/2020,23755,334,318,1,2744.485,38.588,36.739,0.116,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97
ITA,Europe,Italy,6/29/2020,240310,174,34738,22,3974.574,2.878,574.544,0.364,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51
JAM,North America,Jamaica,6/29/2020,696,6,10,0,235.043,2.026,3.377,0,2961161,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47
JPN,Asia,Japan,6/29/2020,18476,86,972,1,146.083,0.68,7.685,0.008,126476458,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63
JEY,Europe,Jersey,6/29/2020,319,0,31,0,3156.135,0,306.709,0,101073,,,,,,,,,,,,,
JOR,Asia,Jordan,6/29/2020,1121,10,9,0,109.868,0.98,0.882,0,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53
KAZ,Asia,Kazakhstan,6/29/2020,21327,547,183,10,1135.822,29.132,9.746,0.533,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6
KEN,Africa,Kenya,6/29/2020,6070,259,143,2,112.885,4.817,2.659,0.037,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7
